2022-06-09 09:52:58,728::DEBUG::proto_mqtt.py::42 started mqtt client!
2022-06-09 09:52:58,973::DEBUG::proto_mqtt.py::69 login mqtt : 216.69.244.100 1883 User : user
2022-06-09 09:52:58,976::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'devicedata', 'data': {'deviceId': 'e4:5f:01:82:7b:03', 'time': '2022-06-09 09:52:58', 'userName': None, 'passwd': None, 'antConfig': [{'antNo': 1, 'power': 200, 'title': 'IN', 'gpioNo': 7, 'boomConfig': [1, 3, 1, 1, 1, 1, 4]}, {'antNo': 2, 'power': 200, 'title': 'OUT', 'gpioNo': 29, 'boomConfig': [1, 3, 1, 1, 1, 1, 4]}, {'antNo': 3, 'power': 500, 'title': 'NA', 'gpioNo': 7, 'boomConfig': [0, 6, 1, 1, 1, 1, 4]}, {'antNo': 4, 'power': 500, 'title': 'NA', 'gpioNo': 7, 'boomConfig': [0, 6, 1, 1, 1, 1, 4]}], 'timeConfig': {'boomOutputON': 4, 'redLedON': 3, 'transactionPost': 0, 'deviceHBInterval': 30}, 'serialConfig': {'baudrate': 38400, 'serialPath': '/dev/ttyS0', 'parity': 'NONE'}}} Heartbeat On HeartBeat
2022-06-09 09:53:29,877::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'e4:5f:01:82:7b:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 114307072, 'free': 3707465728}}} Heartbeat On HeartBeat
2022-06-09 09:54:00,742::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'e4:5f:01:82:7b:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 113045504, 'free': 3705962496}}} Heartbeat On HeartBeat
2022-06-09 09:54:31,574::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'e4:5f:01:82:7b:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 50.634, 'ramStatus': {'total': 4025397248, 'used': 116420608, 'free': 3702374400}}} Heartbeat On HeartBeat
2022-06-09 09:55:02,374::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'e4:5f:01:82:7b:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 50.634, 'ramStatus': {'total': 4025397248, 'used': 111607808, 'free': 3707113472}}} Heartbeat On HeartBeat
2022-06-09 09:55:33,242::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'e4:5f:01:82:7b:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 116232192, 'free': 3702464512}}} Heartbeat On HeartBeat
2022-06-09 09:56:04,116::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'e4:5f:01:82:7b:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 50.147, 'ramStatus': {'total': 4025397248, 'used': 114401280, 'free': 3704254464}}} Heartbeat On HeartBeat
2022-06-09 09:56:34,947::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'e4:5f:01:82:7b:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 48.199, 'ramStatus': {'total': 4025397248, 'used': 114040832, 'free': 3704606720}}} Heartbeat On HeartBeat
2022-06-09 09:57:05,741::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'e4:5f:01:82:7b:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 114548736, 'free': 3704082432}}} Heartbeat On HeartBeat
2022-06-09 09:57:36,511::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'e4:5f:01:82:7b:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 50.147, 'ramStatus': {'total': 4025397248, 'used': 114806784, 'free': 3703816192}}} Heartbeat On HeartBeat
2022-06-09 09:58:07,457::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'e4:5f:01:82:7b:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 48.686, 'ramStatus': {'total': 4025397248, 'used': 117465088, 'free': 3700801536}}} Heartbeat On HeartBeat
2022-06-09 09:58:38,740::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'e4:5f:01:82:7b:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 51.121, 'ramStatus': {'total': 4025397248, 'used': 118771712, 'free': 3699462144}}} Heartbeat On HeartBeat
